"","NAME","DOBNEAR","DECEASEDNEAR","OCCUPATION","DESCRIPTION"
"231"," CHRISTOPHER ",NA,"250"," martyr"""," Nothing is known of his history except the record of his death in Asia Minor. A church was dedicated to him in Bithynia in 452 and there are 8th-century Legends in both Greek and Latin. These were augmented, especially in 12th-century Germany, until they reached the final form in the Golden Legend, which inspired innumerable artistic representations all over Europe and assured Christopher a place among the *Fourteen Holy Helpers. The name Christopher (Christ-bearer) is made the basis for the Legend: ‘he bare him on his shoulders by conveying and leading, in his body by making it lean, in mind by devotion and in his mouth by confession and preaching.’ Christopher, supposedly a Canaanite, was a giant of fearsome appearance, who first decided to serve the Devil, but finding that the latter was afraid of Christ and his Cross, decided to serve Christ instea A hermit instructed him in the Christian faith, and assigned to him as his Christian service residence near a river and helping travellers to cross it. Once a child asked Christopher to carry him across, but Christopher found him so heavy that he was bowed down with the weight. The child then told him that he was Jesus Christ and that he had carried the weight of the whole world and ‘him that created and made all the world upon thy shoulders’. He told Christopher to plant his staff in the ground: the next day it woud bear flowers and dates as a sign of the truth of the message he had receive Later he was said to have preached Christianity in the city of Lycia with enormous success, but was imprisoned when in persecution (under Decius?) he refused to sacrifice to the gods. Two women who were sent to seduce him in prison were converted instead; Christopher was beaten with rods of iron; shot with arrows, one of which injured the king in the eye, later healed by Christopher’s blood; finally he was beheade Many English wall-paintings of Christopher have survive Mostly they were placed on the north wall opposite the porch so that he would be seen by all who entered the church. This was because he was not only the patron of travellers, but also was invoked against water, tempest, and plague and especially against sudden death. It was popularly believed that whoever saw an image of Christopher would not die that day. Hence in modern times he is invoked as the patron of motorists (a church in the Javel area of Paris, where Citroeën cars are made, is dedicated to his patronage), and the motorists’ plaques often bear the ancient inscription ‘Behold St. Christopher and go thy way in safety’. The surviving paintings vary in elaboration. In most of them he is depicted as a giant, carrying the Infant Jesus on his back. From the 14th century the picturesque element is more in evidence, with the hermit, the river, the flowering staff, boats, fishes, and the arrow wounding the king. The two temptresses and even a mermaid are also sometimes foun Examples may be seen at Shorwell (I.W.), Aldermaston (Berks.), Little Missenden (Bucks.), Impington (Cambs.), Breage and St. Keverne (Cornwall), Haddon Hall (Derbyshire), Little Baddow (Essex), and many other places. There are also notable examples in stained glass (e.g. Great Malvern Priory) and sculpture (e.g. Terrington St. Clement, Norfolk). Nine English churches have ancient dedications to him. The cult of Christopher was severely criticized by Erasmus in his Praise of Folly; his popularity suffered both from the Reformation and the Counter-Reformation, so that from the 17th century (in contrast to earlier times) it is hard to find notable examples of images of him. But in modern times his popular cult has revived with the increase in travel by air and motorway. As travelling becomes (or is believed to become) more dangerous, so does devotion to Christopher flourish. When in 1969 the Holy See reduced his feast to the dimension of a merely local cult, there was a sharp reaction in various countries, led in Italy by popular film stars. It seems likely that this medieval legend and cult will never completely lose its popularity. Feast: 25 July"
"232"," CHRODEGANG OF METZ ",NA,"766"," bishop"," Born near Liège and educated at the abbey of Saint-Trond, he was appointed in turn secretary, chancellor, and principal minister by Charles Martel. He became bishop of Metz in 742 and acted as ambassador of Pepin to Stephen III, working for the coronation of the emperor in 754 and helping to establish Frankish rule in Italy through the defeat of the Lombards. His political achievements were matched by equally important ecclesiastical ones. In 748 he founded the abbey of Gorze which became a prominent reforming monastery, in some ways comparable to Cluny. But Chrodegang was best known as the author of a Rule for canons, written for those of his own cathedral. Under it they lived a community life devoted to the public prayer of the Church, but in close association with diocesan personnel and with full authorization to own property individually. This attracted the attention of Charlemagne who enacted that all clerics living in community should follow the Rule of *Benedict or else that of Chrodegang. His Rule spread to Germany, Italy, and England, where it was translated into OE and was used in some cathedral chapters which were not monasti Chrodegang also founded a school of Church music at Metz, which became long famous for Gregorian Chant. Feast: 6 March"
"233"," CHRYSOGONUS ",NA,"304"," martyr of Aquileia"," According to the Passion of St. *Anastasia, he was a Roman official who was imprisoned under Diocletian and beheaded at Aquileia, and whose body was recovered from the sea by Christians. His cult spread to Rome where the church founded by another Chrysogonus was dedicated to him. He was mentioned in the Roman Canon. Feast: 24 November, the dedication day of the Roman Church"
"234"," CIARAN OF CLONMACNOISE ","512","545"," abbot"""," The son of a travelling carpenter of Connaught, Ciaran studied under *Finnian of Clonard, taking a cow to supply himself with milk. Later he went as a monk to *Enda on Aran island (534), where he was ordained priest, and then to Senan on Scattery island (541). He finally settled at Clonmacnoise, on the Shannon (Co. Meath), and founded a monastery on a fine site with about ten companions. He worked at the first buildings but died within a year, supposedly at the early age of thirty-three. Various legends are attached to Ciaran: that when he was a student a tame young fox used to take his writings to his master until it was old enough to eat the satchel; that the other ‘saints of Ireland’ were so jealous of him that all of them except *Columba prayed and fasted so that he would die young; that soon before his death he told his disciples to leave his bones on the hilltop ‘like a stag’s’ and preserve his spirit rather than his relics. At Clonmacnoise the succession of abbots was not hereditary: this unusual state of things recalled the humble origins of the founder. Clonmacnoise became one of the most important monasteries and centres of learning in Irelan It survived many Viking raids and plunderings in various Irish and Anglo-Norman wars, continuing as a monastery until 1552. Notable ruins survive from its early days. Although Ciaran’s shrine was plundered several times in the early Middle Ages, the Clonmacnoise crozier in the National Museum, Dublin, is believed to belong to it. Feast: 9 September"
"235"," CIARAN OF SAIGHIR ",NA,"600"," bishop and monk"""," Born in West Cork of an Ossory family, Ciarna went to Europe as a young man, was baptized and ordaine He returned to Ossory and settled at Seirkieran (= Saighir) near Birr (Co. Offaly), first as a hermit, and later as abbot of a large monastery. He may have been consecrated bishop by *Patrick. Many legends are told of him, especially of his influence over wild animals. A wolf, a badger, and a fox together worked for him and his monks, helping them to cut woods and build huts. Eventually the fox stole Ciaran’s shoes and fled to his lair. The wolf and the badger were charged by the saint to bring him back; the badger bound the fox from ear to tail and delivered him unwillingly. Ciaran reproved the fox, told him to fast and do penance like a monk, and to continue work as before. Ciaran’s monastery became the burial-place of the kings of Ossory; notable ruins remain. The site may have been pre-Christian; as in some other Irish sanctuaries, perpetual fire is said to have burnt there. His other site, the island of Cape Clear (Cork), was probably his hermitage at or near his birthplace. Here a ruined church and well survive of great antiquity. From medieval times this Ciaran was identified wrongly with the Cornish *Piran; he must also be distinguished from his younger namesake, *Ciaran of Clonmacnoise. Feast: 5 March"
"236"," CISSA ",NA,"825"," monk"," He was a disciple of *Guthlac at Crowland and provided the biographer Felix with much of his material. Cult at Crowland only, with no official feast-day"
"237"," CLARE ","1194","1253",NA," She was born at Assisi of the Offreduccio family, but nothing is known of her early life. When she was eighteen, she was so moved by the preaching of *Francis of Assisi that she joined him at the Portiuncula, where she renounced all her possessions and took the habit of a nun. She was then formed in the religious life at the Benedictine convents of Bastia and Sant’Angelo di Panzo until Francis was able to offer her and her companions a small house adjacent to the church of San Damiano, Assisi, which he had restore There she became abbess in 1216 of a community of women who wished to live according to the rule and spirit of Francis: it soon included among its members Clare’s mother and two sisters, and some members of the wealthy Ubaldini family from Florence. The way of life was one of extreme poverty and austerity, believed to be harder than that of any other nuns of the time: this was safeguarded as far as communal possessions were concerned by the papal ‘Privilegium paupertatis’ of 1228 for three convents, including San Damiano, to live entirely by alms, renouncing all rents and other common property. Like the Franciscan friars, Clare’s nuns soon spread to other parts of Europe, especially Spain (47 convents in the 13th century), Bohemia, France, and England, where four convents were founded in the late 13th and 14th centuries. Clare never left her convent at Assisi: she was distinguished as one of the great medieval contemplatives, devoted to serving her community in great joy, practising Franciscan ideals, including Francis’ love of the world of nature, long after his death in 1226. For the last twenty-seven years of her life she suffered various illnesses, being sometimes bedridden, but she was always devoted to her nuns and to the town of Assisi. This was expressed not only by her sewing altar cloths and corporals for its churches, but also by prayer and penance on its behalf in times of crisis. Twice Assisi was in danger of being sacked by the armies of the Emperor Frederick II, which included a number of Saracens. Clare, although ill, was carried to the wall with a pyx containing the Blessed Sacrament, at which, say her biographers, the armies fle This is why in art she is often depicted with a pyx or a monstrance, as on the D’Estouteville Triptych of English origin 1360. She was canonized only two years after her death by Alexander IV in 1255. Among her nuns, as among the Franciscan friars, controversies about poverty continued as a divisive force until *Colette reformed the Poor Clares in the 15th century. They continue today in many countries as a contemplative Order, comparatively few in number but still distinguished by the same ideals as those which inspired Francis and Clare. Feast: 11 (formerly 12) August. Recently she has been named patron of television. Five letters of Clare survive, together with her Rule and her Testament"
"238"," CLARE OF MONTEFALCO ",NA,"1308"," Augustinian nun"," At an early age she joined a community of Franciscan hermits, whom the bishop of Spoleto refounded as Augustinians. In 1291 she became abbess. She was famous for her total devotion to the Passion of Christ, manifested in extreme austerities, ecstasies, miracles, and infused knowledge. After death and to this day she is famous also for the incorruption of her body, for her heart, where she claimed the marks of the Passion would be found, and for the liquefaction of her bloo Her relics, very impressive to some, are still shown. Her cult began immediately afer her death; Urban VIII authorized her Office and Mass; she was canonized in 1881. Feast: 17 August, subsidiary feast: 30 October"
"239"," CLARET ANTONY ","1807","1870",NA," Born at Sallent in northern Spain, Antony followed his father’s trade of weaving before going to a seminary at Vich. He was ordained priest in 1835, went to Rome, and joined the Jesuits to devote himself to missionary work overseas. But his health broke down and he returned to Spain. For ten years he preached tirelessly in Catalonia, founding the congregation of Missionary Sons of the Immaculate Heart of Mary, commonly called Claretians. Soon afterwards he was appointed to the turbulent see of Cuba, where he encountered all kinds of opposition, even attempted assassination. But in 1857 he resigned, returned to Spain to be the confessor of Queen Isabella II, and devoted himself to preaching and writing, especially in Catalan. A special feature of his apostolate was his emphasis on the printed as well as the spoken word: he is reputed to have published 200 books or pamphlets. His considerable cultural interests are also evidenced by his establishing, while Rector of the Escorial, a science laboratory and a natural history museum, with schools of music and of languages. At the revolution of 1868 he went into exile with Queen Isabella and died in the Cistercian monastery of Fontfroide, near Narbonne. He was canonized in 1950 by Pius XII. Feast: 24 October"
"240"," CLAVER PETER ","1580","1654",NA," He was born at Verdu (Catalonia), was educated at Barcelona university, and became a Jesuit in 1600 at Tarragona. He was sent to the college of Palma (Majorca), where he met Alphonsus *Rodriguez, who encouraged his desire for missionary work in the New Worl He studied theology at Barcelona and was sent to Cartagena (now in Colombia) in 1610, where he was ordained priest five years later. At this time Cartagena was one of the principal centres of the flourishing but iniquitous slave-trade in Negroes from Angola and elsewhere in western Africa, who were shipped in large numbers and often unspeakable conditions across the Atlanti Cartagena was a convenient clearing-house; it has been estimated that 10,000 reached it every year. Peter devoted himself to them under Fr. Alfonso de Sandoval, who had already spent forty years looking after them. Peter both imitated and surpassed the achievements of his predecessor. When a slave-ship arrived in the port, the slaves were shut up in yards, herded together in the heat without care or medical attention of any kin Peter would visit them with medicine, food, brandy, lemons, and tobacco. His band of helpers assisted in this distribution and acted as interpreters. With their help and with the use of pictures he would teach the principal truths of Christianity and prepare the slaves for baptism. He also inspired them with some idea of their dignity and worth as men who were redeemed, in contrast with their appalling state of present misery. Eventually the slaves were sent to the mines (where the work was too hard for the native Indians) and to the plantations, which he visited every spring, not always with the approval of their masters. He would also nurse the slaves in conditions which nobody else could endure: he used to call himself ‘the slave of the Negroes for ever’. This, however, did not prevent him from caring also for the souls of the more well-to-do members of society and for the traders and visitors (including Moslems and English Protestants) to Cartagena, or for condemned criminals, many of whom he prepared for death. He was also a frequent visitor to the city’s hospitals. His apostolate included an annual mission to traders and seamen in the port every autumn. Miracles, prophecies, the gift of reading hearts, and the practice of severe personal penance were all ascribed to him. In 1650 he was taken ill while preaching to the Negroes. Although he recovered, he suffered from paralysis for the remaining four years of his life, broken in health, neglected by the young man who was responsible for looking after him, able to leave his cell only for short visits to the hospital or to friends. He lived long enough to welcome his successor in his apostolate. At his death the civil authorities and the clergy who had thought him indiscreet or misguided united in his praise; he was given a civic funeral while Africans and Indians arranged for a Mass of their own. He was canonized in 1888 and declared patron of all missionary enterprises among the Negroes. His feast, 9 September, is on the day after his death; his cult is particularly strong in the United States and Latin America"
"241"," CLEMENT ",NA,"100"," pope and martyr"," Bishop of Rome after *Peter, *Linus, and *Cletus, Clement is known today mainly for his Epistle to the Corinthians of 96, an exceptionally early witness to the function and authority of the ministers of the Christian Church. It shows for the first time a bishop of Rome intervening effectively in the affairs of another church, calling for repentance and restoring unjustly deposed presbyters. It also provides evidence for the residence and martyrdom of Peter and *Paul at Rome. Other writings ascribed to Clement, including the so-called Second Epistle to the Corinthians are spurious. Although his genuine epistle was read at the Liturgy at Corinth in 170 and a copy of it was added to the Codex Alexandrinus of the New Testament, it was less well known in the Middle Ages. Then Clement was thought of primarily as an early martyr. His Acta (of the 4th century) are of slight historical value, although they abound in picturesque detail. According to this source, Clement was exiled to the Crimea for the skill and extent of his apostolic activities in Rome. While in exile he was compelled to work in the mines, he opened a miraculous supply of water, he preached with such effect that again he made innumerable converts so that there was need for seventy-five churches. He was killed by being thrown into the sea with an anchor round his neck: angels were said to have made him a tomb on the sea-bed, which was uncovered once a year by an exceptionally low tide. Seven centuries later, the missionary brothers *Cyril and Methodius, who were apostles of the Slav countries, ‘miraculously recovered’, they claimed, the body of Clement, piece by piece, together with the anchor. These relics were translated to Rome 868 and buried in the fine church of San Clemente, built on the site of the titulus Clementis, a pastoral centre of the 3rd century which grew out of a place of worship of the 1st century in the house of one Clement, probably different from the saint. Fine frescoes of the 9th century survive at San Clemente, depicting the Legend and Translation of the saint. His usual emblem in art is an anchor; sometimes he is represented with a tiara and a cross with three branches. Representations of him survive at Chartres, Cologne, and Stara Boleslav in Bohemia, but also in England, especially on painted screens in East Anglia. The most famous of the forty-three churches dedicated to him in this country is St. Clement Danes, London, whose parish emblem is an anchor. Clement is also patron of the Guild of the Glorious and Undivided Trinity of London, i.e. Trinity House, the authority responsible for lighthouses and lightships. Feast in the West: 23 November; in the East, 24 November"
"242"," CLETHER ",NA,"550",NA," After living in Wales by the river Never, he settled in N. Cornwall in later life in the remote and beautiful Inny valley at the place which still bears his name. His original oratory and well, the finest example of its kind, were rebuilt in the 15th century; the 11th-century parish church had been built in his honour a small distance away. Nothing is known of the details of Clether’s life; he has often been identified with St. Cleer, who gave his name to another village a few miles to the south. Feast: 4 November"
"243"," CLETUS ",NA,NA,NA," Nothing is known of him for certain, but the division of Rome into twenty-five parishes is dubiously ascribed to him. Formerly mentioned in the Roman Canon, his feast, with that of Marcellinus, was kept until 1969 on 26 April"
"244"," CLITHEROW MARGARET ","1556","1586"," martyr"," Born in York, the daughter of Thomas Middleton, a chandler who later became sheriff of York, Margaret was brought up as a Protestant and in 1571 married John Clitherow, a prosperous butcher of York. Three years later she became a Catholic, but her husband, a kindly and easygoing man, and now a chamberlain of York, remained a resolute Protestant both before and after her death. She became known as an active and outspoken Catholic: she was imprisoned for two years for not attending the parish church. During this time she learned to read; after her release she organized a small school for her own and her neighbours’ children in her own house. Here, too, she used to harbour priests against the penal laws, hiding them in a specially built room with a narrow secret access. Her husband used to turn a blind eye to these activities, but in 1586 he was summoned before the court to explain his son’s absence abroad, due in fact to his being at a Catholic college. At the same time his house was raided, but no trace was found of priest, vestments, or chalice. A searching interrogation followed, in which the Clitherow children gave nothing away, but a Flemish boy under threats revealed the hiding-place and the Mass vestments. Margaret was arrested, imprisoned, and charged with harbouring priests and attending Mass. She steadfastly refused to plead, saying: ‘Having made no offence, I need no trial.’ Her purpose was to avoid the necessity of friends, servants, and her own children giving evidence against her. The penalty for refusing to plead was the peine forte et dure which resulted in the victim being crushed to death. The judge reluctantly sentenced Margaret and she was executed in the Tollboothe, York, on 25 March. She was dead after only fifteen minutes. Margaret Clitherow was described by contemporaries as good-looking, witty, and merry; ‘everyone loved her and would run to her for help, comfort and counsel in distress’. Although her refusal to pray with those who did not share her beliefs hardly accords with present-day ecumenical ideals, Margaret Clitherow is one of the most notable and attractive of the Forty Martyrs. Her house was in the Little Shambles, York, but was not, it seems, the one claimed as such. The place of her trial (Guildhall) and imprisonment (Castle) can be seen at York; a relic of her hand is at the Bar Convent. She was canonized by Paul VI in 1970 as one of the *Forty Martyrs of England and Wales. Feast: 25 October"
"245"," CLOTILDE ","475","545",NA," A Burgundian princess, Clotilde was put forward as the possible wife for Clovis, the powerful pagan war-leader. Impressed by her beauty and wisdom, Clovis married her 492. If we can believe *Gregory of Tours, Clotilde actively encouraged Clovis to abandon his idols and become a Christian. When their first son was born, Clotilde had him baptized, but he died soon afterwards. Naturally Clovis reproached her, but she bore him another son, Clodomir, who was also baptized and taken ill. He recovered, however, and eventually Clovis and Clotilde had two other sons and a daughter. Meanwhile Clovis in 496 was in serious trouble during a battle against the Alemanni: he prayed to ‘the God of Clotilde’, vowing to accept baptism if he won the victory. This proved to be complete and on Christmas Day 498 he was baptized by *Remigius, bishop of Rheims. Clovis’s subsequent military achievements, against Burgundians and Visigoths, do not seem to have been associated with Clotilde, but the building at Paris (his capital) of a church of the Apostles was their joint enterprise, and Clovis, who died in 511, was buried there. Now Clotilde retired to Tours, but still exercised a political role in the violent Merovingian world, mainly through her sons. Two of these were assassinated and her daughter, married to the Visigoth Amalric, died at about the same time. Thenceforward she led a devout life, serving in Martin’s basilica at Tours, building churches and monasteries, and now totally detached from politics and power-struggles except through prayer. The churches which were claimed to be built by her included Laon, Andelys, and Rouen. She died on 3 June, the day of her feast, and was buried at Paris in the basilica of the apostles, later called St Genevieve. Gregory of Tours is the principal source for her life, but a biography followed in the 10th century. This celebrated her as the saintly ancestor of the French kings. Artists from several centuries depicted her presiding at the baptism of Clovis or as a suppliant at the shrine of St. Martin. Andelys has a fine 16th-century stained-glass window devoted to her life, and in Normandy especially she was the patron of the lame, and invoked against sudden death and iniquitous husbands. In spite of the Revolution, her relics have survived at the church of Saint-Leu at Paris"
"246"," CLYDOG ",NA,"550"," king and martyr"," He was of the family of *Brychan who ruled in Ewyas (Hereford and Monmouth area). His Legend, first recorded in the Book of Llan Dav about six centuries after his death, relates that a nobleman’s daughter fell in love with him and said she would marry nobody but him. One of Clydog’s comrades who had himself decided to marry her, killed the king with his sword while hunting. The body was placed on a cart and driven to a ford in the river Monnow, but then the yoke broke, the oxen refused to be driven further, and a church was built on the spot, ever since called Clodock or Merthir Clitauc (Hereford and Worcester), where the king was burie Whytford described him as ‘a kynges son of strayte iustyce, a louer of peace, and of pure chastite, and of strayte and perfyte life yt was cruelly slayne by a fals traytour at whose death were shewed many myracles and at his tombe after many moo’. He is represented in art wearing a crown and bearing a sword and a lily. But some modern scholars maintain that the title of martyr was given to a hermit and confessor through ‘Merthir’ being understood as ‘martyrium’, when it simply meant ‘shrine’. Feast: 3 November"
"247"," COLETTE ","1381","1447"," Franciscan nun and reformer"""," Born at Calcye in Picardy, where her father was a carpenter at Corbie abbey, she was christened Nicolette Boylet. She grew up with a taste for prayer and solitude. Both her parents died in 1398: under the direction of the abbot of Corbie she lived as a hermit close to the abbey church and became a Franciscan tertiary. A reputation for austerity and holiness resulted in numerous visitors seeking her advice. Dreams and visions followed: she believed she was called upon to restore the Rule of *Francis and *Clare to existing convents of Franciscan nuns. The antipope Benedict XIII (Peter de Luna), recognized by France and some other countries, encouraged her by professing her as a Poor Clare and by placing her in charge of all convents which she might found or reform. At first she met with rejection in several convents but reformed the nunnery at Besançon in 1410 and eventually founded seventeen new convents as well as reforming several old ones. Perhaps the most famous is that of Le Puy (Haute-Loire), which has enjoyed unbroken continuity. Her convents were established mainly in France, Flanders, and Savoy. Like Francis she combined a deep devotion to Christ’s Passion with appreciation and care for animals. She died at Ghent; under Joseph II her body was translated to Poligny (Jura). She was canonized in 1807. Feast: 6 March (7 February)"
"248"," COLLEN ",NA,NA,NA," Nothing is known of this saint, but a Life in Welsh survives in two MSS. of the 16th century. This farrago makes Collen fight a duel with a pagan Saracen in the presence of the pope, go to Cornwall and Glastonbury, and deliver the people in the Vale of Llangollen from a fierce giantess by slaying her. Feast: 21 May"
"249"," COLMAN ",NA,NA,NA," There are about 300 saints of this name mentioned in Irish martyrologies: for the purposes of this work it seems sufficient to mention four, those of Cloyne, Dromore, Kilmacduagh, and Lindisfarne"
"250"," COLMAN OF CLOYNE ","530","606"," bishop"," Born in Munster, he became a poet and royal bard at Cashel and was about fifty years old when he became a Christian, supposedly as a consequence of *Brendan discovering the bones of *Ailbe at Cashel. After being ordained priest and consecrated bishop he worked in Limerick and Cork, where he built the first church at Cloyne and another at Kilmaclenine. In both places are the remains of churches; at Cloyne there was also a holy well. Feast: 24 November"
"251"," COLMAN OF DROMORE ",NA,NA,NA," Born in Ulster, he spent much of his working life in Co. Down and was founder of the monastery at Dromore where he was also bishop. There he is reputed to have taught *Finnian of Moville. He was venerated in both Scotland and Ireland from early times on 7 June: the Scottish cult being possibly due to his disciples or to another tradition of his birth, viz. in Dalriada (Argyllshire). The churches of Llangolman and Capel Colman in Dyfed are also sometimes attributed to him, but whereas the date of the feast in Scotland and Ireland is constant, that of the founder of these Welsh churches is 20 November"
"252"," COLMAN OF KILMACDUAGH ",NA,"632"," bishop"," Born at Corker in Kiltartan in the mid 6th century, he became a monk at Aranmore and later lived at Burren (Co. Clare) where, having been unwillingly consecrated bishop, he lived with only one disciple on a diet of vegetables and water. He later founded a monastery at Kilmacduagh on land given him by King Guaire of Connaught and was venerated as its first bishop. Like other monastic saints he was reputed to have a special affinity with animals: a cock used to wake him before the night-office, a mouse prevented him from going to sleep after it, and a fly kept the place in his book. Part of his crozier is in the National Museum, Dublin. Feast: 29 October"
"253"," COLMAN OF LINDISFARNE ",NA,"676"," and in frugality through living by the labour of their own hands"," A monk of Iona and Irish by race, Colman was the successor of *Aidan and *Finan as bishop-abbot of Lindisfarne. This was the most important monastery in Northumbria, sited close to the royal castle of Bamburgh, and the home of a number of monks who evangelized other English kingdoms. But a crisis arose concerning the date of Easter, the style of tonsure, and eventually the role of the bishop, between the Irish, led by Colman, and those of Roman formation, led by *Ronan, *Agilbert, and *Wilfri This was resolved at the Synod of Whitby (663/4), convened and presided over by Oswiu, king of Northumbria, who favoured the Irish view, and in which various ecclesiastics from elsewhere in England took part. Colman was the main spokesman for the Irish side, for an ancient but insular tradition, while Wilfrid spoke for the practice of Rome and Western Europe. Neither side could prove their claims historically, but the appeal to the practice of the rest of the known contemporary Church was decisive. The king ruled in favour of the Roman calculation of Easter, thereby bringing about unity of observance in Northumbria and eventually in all Englan Colman resigned and went back to Iona with all the Irish and about thirty English monks from Lindisfarne, taking with him some of the bones of Aidan. They then migrated to Ireland where Colman founded a monastery on the isle of Inishbofin (Co. Galway) 667. Even here, however, there was discord because the Irish monks, according to *Bede, left the monastery in the summer when the harvest had to be gathered in, but returned in the winter expecting an equal share with the English monks who had provided it. Colman tried to solve this dispute and eventually settled the English monks at Mayo, while the Irish remained at Inishbofin. ‘Mayo of the Saxons’, as it was called, flourished greatly, was praised by Bede for living under a Rule and an abbot canonically elected (i.e. it was not a Celtic ‘hereditary’ monastery), and in frugality through living by the labour of their own hands. Alcuin also praised them for leaving their homeland in voluntary exile, where they shone by their learning among a ‘very barbarous nation’, and exhorted them to regard their bishop as their father. The date of Colman’s death is variously given by chronicles as 672, 674, and 675. Feast: 18 February; but in some parts of Ireland on 8 August"
"254"," COLOMBIERE ","1641","1682",NA," Born near Lyons, he worked in Avignon, Paray-le-Monial, and lastly London, where he narrowly escaped execution. Born into a wealthy and devout family at Saint-Symphorien, he was educated at a Jesuit college and then joined the Society of Jesus. After profession he taught grammar and the humanities in the college, and then, even before ordination, became known as a preacher to the Visitation nuns at Avignon, where *Francis of Sales (their founder) had spent some of his last months and where his canonization in 1665 was solemnly celebrate He finished his theology at Paris and was appointed tutor to the sons of Colbert, Louis XIV’s minister of finance. A satirical article by him brought this appointment to an en Recalled to Avignon, Claude preached a series of sermons, inspired in part by the works of *Bernard of Clairvaux on the love of God and on predestination. Devotion to the Sacred Heart of Jesus was fostered to refute the rigorist doctrine of the Jansenists, and insistence on God’s infinite love for mankind even before we existed was crucial. Appointed superior of the Jesuit house at Paray-le-Monial, Claude encouraged Margaret Mary *Alacoque who had experienced visions and revelations about the love of Christ’s heart for human beings and the need for establishing a feast of the Sacred Heart of Jesus. Soon afterwards he was recommended by Louis XIV’s confessor as preacher to the then duchess of York, Mary of Modena, whose husband later became James II of Englan He gave sermons in St. James’ Palace which continued the themes of his preaching at Paray and Avignon. He equated ingratitude with heresy and saw Protestantism as constituting irreverence and sacrilege. But he was also alive to ecumenism: ‘Dear God … how can we at length appease you and oblige you to unite us all in one and the same fold, as we had been throughout the space of thirteen or fourteen centuries?’ He also visited secret Catholics in St. Martin’s Lane and preached against the Test Act. In the ‘Popish Plot’ allegations he was arrested in St. James’ Palace and imprisone He was tried in the House of Commons but Louis XIV saved him from execution, so he returned to France in 1679. The imprisonment permanently damaged his health and he died at Parayle-Monial. He was beatified by Pius XI in 1929 and canonized by John Paul II in 1992. Feast: 15 February"
"255"," COLUMBA ",NA,NA," Cornish saint"," Patron of St. Columb Major and St. Columb Minor (Cornwall), usually called Columba the Virgin, from medieval records. But Baring-Gould conjectures that this Columba was an Irishman, identical with Columba of Tirda-Glas. The Cornish Church Calendar assigns no day to this saint"
